,MATRICULA,REPROVACOES_DE,REPROVACOES_EM,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,REPROVACOES_MF,REPROVACOES_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS
32,364403,0,0,5.7,4.9,5.0,5.2,0,0,0.0,5,1,3
33,261521,0,0,6.8,5.9,6.7,6.2,0,0,0.0,4,2,3
34,375701,0,0,6.1,6.4,5.4,5.4,0,0,0.0,2,2,6
35,148016,0,0,6.0,6.2,5.4,6.4,0,0,1.0,2,4,4
36,177301,0,0,6.6,6.9,5.2,0.0,0,0,0.0,15,5,5
37,556989,0,0,6.4,5.7,5.0,0.0,0,0,0.0,5,5,3
38,185935,0,0,7.3,7.2,7.6,0.0,0,0,1.0,13,5,3
39,608546,0,0,6.6,6.0,6.5,6.2,0,0,1.0,2,0,3
40,604099,0,0,7.3,8.1,7.1,7.5,0,0,0.0,3,5,2
41,520728,0,0,5.9,5.7,5.6,5.6,0,0,1.0,3,2,5
42,775472,1,1,0.0,0.0,0.0,0.0,1,1,0.0,6,0,3
43,275380,0,0,4.7,5.9,5.0,4.5,0,0,1.0,5,1,7
44,516894,1,1,0.0,0.0,0.0,0.0,1,1,1.0,2,3,3
45,420908,0,0,5.5,5.2,7.5,5.4,0,0,1.0,9,4,4
46,546263,0,0,6.5,5.9,5.4,4.8,0,0,1.0,0,3,5
47,763764,0,0,4.7,5.1,0.0,0.0,1,1,1.0,3,3,5
48,970726,0,0,5.5,6.2,6.0,5.8,0,0,1.0,5,6,6
49,950310,0,0,6.8,6.2,7.1,6.4,0,0,0.0,9,3,4
50,610884,0,0,6.2,5.5,4.9,4.3,0,0,0.0,7,2,3
51,419994,0,0,6.5,6.7,7.3,5.3,0,0,0.0,3,0,3
52,346568,0,0,6.2,6.2,4.8,6.0,0,0,0.0,10,5,1
53,785039,0,0,6.0,5.3,4.9,5.0,0,0,1.0,1,2,6
54,336386,0,0,4.9,5.2,5.5,5.7,0,0,1.0,0,2,1
55,472125,1,1,0.0,0.0,0.0,0.0,1,3,1.0,2,2,5
56,120982,0,0,7.6,7.2,6.8,6.4,0,0,1.0,3,0,3
57,173762,0,0,5.7,4.3,5.7,0.0,0,0,1.0,0,0,8
58,133076,1,1,0.0,0.0,0.0,0.0,1,1,0.0,21,6,2
59,244232,0,0,5.2,4.9,0.0,0.0,1,1,1.0,3,2,6
60,432793,0,0,5.2,5.2,5.9,0.0,0,0,0.0,2,4,4
61,727230,0,0,6.1,5.5,5.1,5.6,0,0,1.0,0,2,6
62,121294,0,0,7.4,6.6,5.7,0.0,0,0,1.0,0,5,3
63,683121,0,0,6.8,7.4,8.7,7.6,0,0,0.0,2,5,3
64,232491,1,1,0.0,0.0,0.0,0.0,1,1,0.0,1,0,6
65,782070,0,0,6.4,5.5,4.9,6.2,0,0,1.0,5,0,3
66,823254,0,0,6.0,5.8,4.9,0.0,0,0,1.0,6,3,5
67,209033,0,0,6.5,6.0,6.9,6.2,0,0,0.0,8,0,1
68,196963,0,0,6.1,5.8,5.3,0.0,0,0,1.0,7,2,4
69,321072,0,0,6.7,6.7,6.8,6.3,0,0,0.0,4,3,4
70,449186,0,0,6.6,4.7,5.6,4.4,0,0,1.0,1,3,5
71,354651,0,0,6.1,4.6,4.7,5.1,0,0,0.0,7,5,3
72,743378,0,0,6.1,6.5,4.6,5.0,0,0,1.0,0,2,3
73,481412,1,1,0.0,0.0,0.0,0.0,1,1,0.0,3,3,6
74,176810,0,0,4.7,4.8,0.0,0.0,3,1,0.0,3,5,5
75,228605,0,0,6.2,6.0,4.9,6.3,0,0,1.0,3,2,2
76,748596,0,0,7.5,7.3,8.1,6.0,0,0,0.0,4,5,3
77,916770,0,0,7.1,6.2,7.7,0.0,0,0,0.0,2,5,3
78,458344,0,0,7.6,7.7,7.9,0.0,0,0,1.0,17,7,2
79,349438,0,0,5.7,5.6,5.2,5.7,0,0,1.0,2,5,3
80,572626,0,0,5.2,5.0,4.6,5.0,0,0,0.0,4,0,4
81,694666,0,0,6.4,5.9,6.5,4.7,0,0,1.0,9,2,3
82,705401,0,0,7.1,6.5,5.9,0.0,0,0,0.0,4,3,6
83,652794,0,0,7.1,7.0,8.3,7.8,0,0,0.0,5,4,2
84,997787,0,0,5.9,6.4,7.5,4.6,0,0,1.0,5,2,4
85,384711,1,1,0.0,0.0,0.0,0.0,1,1,0.0,7,7,4
86,545750,0,0,7.1,7.3,7.3,7.1,0,0,0.0,4,5,3
87,148616,1,3,0.0,0.0,0.0,0.0,3,1,1.0,5,3,5
88,794432,0,0,6.3,5.3,6.7,5.9,0,0,0.0,3,2,6
89,754217,1,1,0.0,0.0,0.0,0.0,1,1,1.0,5,5,5
90,771850,1,1,0.0,0.0,0.0,0.0,1,3,0.0,2,1,5
91,410346,0,0,5.4,6.2,5.3,4.6,0,0,1.0,2,3,5
92,259804,0,0,6.3,4.9,6.7,6.3,0,0,1.0,3,4,3
93,824374,0,0,6.6,6.1,6.0,0.0,0,0,0.0,4,4,3
94,122981,0,0,6.5,4.3,5.8,5.9,0,0,1.0,3,5,6
95,563881,0,0,5.5,6.2,5.3,5.3,0,0,1.0,5,3,7
96,790640,0,0,7.1,6.4,6.4,0.0,0,0,1.0,5,2,6
97,366054,0,0,5.8,5.8,4.9,5.3,0,0,1.0,2,5,3
98,946190,1,1,0.0,0.0,0.0,0.0,1,1,0.0,3,1,7
99,633420,0,0,6.6,6.0,5.3,5.3,0,0,0.0,2,0,8
100,974420,1,1,0.0,0.0,0.0,0.0,1,1,0.0,7,5,3
101,681625,0,0,5.4,5.8,5.5,4.4,0,0,1.0,3,2,5
102,179657,1,1,0.0,0.0,0.0,0.0,1,1,0.0,2,0,8
103,420374,0,0,6.9,7.4,6.9,5.7,0,0,0.0,13,6,3
104,527716,0,0,7.9,7.2,9.4,7.9,0,0,1.0,12,5,4
105,238401,1,1,0.0,0.0,0.0,0.0,3,3,1.0,4,5,6
106,276270,0,0,6.7,6.9,8.8,7.2,0,0,0.0,14,6,2
107,656672,0,0,6.2,5.6,5.6,5.8,0,0,1.0,2,1,6
108,920238,0,0,6.9,7.2,6.2,5.3,0,0,1.0,2,5,5
109,981095,0,0,7.2,7.1,7.7,5.8,0,0,0.0,5,2,3
110,430665,0,0,5.8,4.9,5.4,4.6,0,0,1.0,1,2,6
111,274035,0,0,7.2,7.1,6.5,0.0,0,0,0.0,8,4,5
112,865260,0,0,4.9,5.4,0.0,0.0,1,1,0.0,3,0,8
113,665507,1,1,0.0,0.0,0.0,0.0,1,1,0.0,2,3,4
114,248106,1,1,0.0,0.0,0.0,0.0,1,1,1.0,3,0,6
115,854815,0,0,6.1,6.9,7.6,0.0,0,0,0.0,5,3,5
116,256055,0,0,5.5,6.6,7.6,5.8,0,0,0.0,7,0,3
117,917746,0,0,6.5,7.1,6.8,7.0,0,0,0.0,3,4,4
118,859689,0,0,4.3,5.9,6.9,5.5,0,0,0.0,4,0,4
119,983487,0,0,6.3,5.2,6.9,5.2,0,0,1.0,5,3,3
120,720646,0,0,6.5,5.1,5.3,5.2,0,0,1.0,2,3,5
121,446070,1,1,0.0,0.0,0.0,0.0,1,1,1.0,1,3,6
122,171680,1,3,0.0,0.0,0.0,0.0,1,3,0.0,5,4,5
123,894529,1,3,0.0,0.0,0.0,0.0,3,3,0.0,4,5,3
124,116148,0,0,6.5,6.2,5.7,4.9,0,0,1.0,4,4,4
125,444277,0,0,5.8,5.6,6.4,5.5,0,0,0.0,4,4,3
126,498557,0,0,5.8,5.2,5.6,5.0,0,0,1.0,2,2,3
127,388985,0,0,6.4,6.7,5.0,5.5,0,0,0.0,3,0,8
128,814672,0,0,6.5,5.6,6.6,6.1,0,0,1.0,0,2,5
129,782898,0,0,6.8,6.1,0.0,0.0,1,1,1.0,4,5,3
130,531945,0,0,5.1,4.5,4.5,4.5,0,0,0.0,3,5,3
131,357174,0,0,6.8,6.5,7.3,5.0,0,0,1.0,4,6,4
132,808430,1,1,0.0,0.0,0.0,0.0,1,1,1.0,8,0,3
133,664269,1,1,0.0,0.0,0.0,0.0,3,3,1.0,3,4,3
134,453165,0,0,4.9,5.2,0.0,0.0,1,1,1.0,3,2,6
135,678364,0,0,5.8,5.5,4.9,5.3,0,0,1.0,8,2,6
136,342822,0,0,6.4,5.7,6.8,0.0,0,0,1.0,3,3,5
137,562494,0,0,7.1,7.5,6.6,6.5,0,0,1.0,6,4,6
138,278495,0,0,5.3,6.2,5.7,5.4,0,0,1.0,16,0,1
139,957837,0,0,6.9,6.6,5.6,0.0,0,0,1.0,4,0,8
140,769531,0,0,6.5,6.7,5.4,5.1,0,0,0.0,2,2,6
141,741916,0,0,6.1,5.9,7.0,5.3,0,0,1.0,5,5,3
142,682048,0,0,6.0,5.4,6.7,4.6,0,0,0.0,5,5,4
143,656192,0,0,6.4,5.8,6.0,6.1,0,0,0.0,2,2,5
144,143151,1,1,0.0,0.0,0.0,0.0,1,1,1.0,1,2,6
145,311948,0,0,6.4,5.8,5.4,0.0,0,0,1.0,3,2,6
146,489139,0,0,5.5,5.5,5.5,5.3,0,0,1.0,13,2,3
147,153614,3,3,0.0,0.0,0.0,0.0,1,1,0.0,3,5,4
148,721684,0,0,6.7,6.8,5.6,6.2,0,0,0.0,5,1,7
149,264469,0,0,6.4,7.1,5.3,6.5,0,0,0.0,8,5,3
150,447338,0,0,7.1,6.9,5.6,0.0,0,0,1.0,5,7,3
151,405545,1,3,0.0,0.0,0.0,0.0,1,1,1.0,3,1,3
152,466888,0,0,6.2,5.6,5.4,6.0,0,0,1.0,5,2,3
153,313990,0,0,5.6,5.1,5.1,5.3,0,0,0.0,2,1,7
154,600677,0,0,5.8,6.8,6.3,5.5,0,0,0.0,3,6,3
155,365884,0,0,6.6,7.2,6.1,7.1,0,0,0.0,5,5,2
156,896512,0,0,5.9,6.0,6.0,0.0,0,0,1.0,5,0,6
157,242935,0,0,5.8,6.9,5.1,7.1,0,0,1.0,2,2,5
158,215443,0,0,6.3,5.1,6.2,5.2,0,0,1.0,6,5,2
159,479858,0,0,5.3,4.2,5.7,4.6,0,0,0.0,4,2,5
160,182198,0,0,5.6,5.3,4.6,5.6,0,0,0.0,4,2,6
161,751223,0,0,6.1,6.3,5.1,5.4,0,0,1.0,2,4,4
162,316438,0,0,7.3,7.3,7.4,6.4,0,0,1.0,5,4,5
163,578987,0,0,6.7,6.7,0.0,0.0,1,1,1.0,2,0,3
164,687092,0,0,6.0,5.6,6.3,5.6,0,0,0.0,4,3,3
165,928838,0,0,5.1,5.5,5.0,0.0,0,0,1.0,3,1,3
166,449477,0,0,8.6,8.3,8.8,0.0,0,0,0.0,17,6,1
167,297474,0,0,7.3,7.0,8.5,0.0,0,0,1.0,5,2,1
168,223963,0,0,4.8,6.0,4.7,0.0,0,0,1.0,2,0,8
169,572706,0,0,6.8,5.8,5.4,0.0,0,0,1.0,3,4,4
170,819040,0,0,5.6,5.9,4.9,5.4,0,0,0.0,3,2,3
171,916699,3,1,0.0,0.0,0.0,0.0,1,1,1.0,6,2,6
172,275950,0,0,7.4,8.1,6.4,7.2,0,0,1.0,3,5,1
173,111466,0,0,5.8,5.6,4.8,4.8,0,0,0.0,2,2,5
174,988513,0,0,6.4,5.9,5.4,0.0,0,0,1.0,2,3,5
175,274830,0,0,6.2,5.9,5.9,4.9,0,0,1.0,3,2,4
176,589648,1,1,0.0,0.0,0.0,0.0,3,1,0.0,14,2,1
177,189509,0,0,6.8,6.4,5.9,6.1,0,0,0.0,12,5,3
178,380169,1,1,0.0,0.0,0.0,0.0,1,1,1.0,4,2,6
179,805664,0,0,6.1,6.0,6.2,5.9,0,0,1.0,5,1,6
180,609915,0,0,7.3,7.7,8.2,8.0,0,0,0.0,10,5,3
181,782851,0,0,6.3,6.6,5.6,5.5,0,0,0.0,1,2,7
182,683384,0,0,7.1,6.0,6.7,6.6,0,0,0.0,11,5,3
183,751466,0,0,6.0,5.9,5.9,5.2,0,0,0.0,2,2,3
184,223470,0,0,6.4,6.4,5.6,5.8,0,0,0.0,2,4,5
185,919882,0,0,7.3,7.4,6.7,6.5,0,0,0.0,13,5,4
186,509816,0,0,6.7,6.4,4.8,5.6,0,0,0.0,4,2,3
187,499936,0,0,4.8,5.2,0.0,0.0,3,1,1.0,2,5,4
188,686972,0,0,6.4,5.4,4.5,4.9,0,0,1.0,4,5,3
189,562624,0,0,6.4,5.9,6.9,0.0,0,0,1.0,3,2,3
190,627850,0,0,7.9,8.1,7.2,6.6,0,0,1.0,4,0,3
191,281174,1,1,0.0,0.0,0.0,0.0,1,1,1.0,8,5,3
192,806648,0,0,4.6,5.3,6.7,4.6,0,0,1.0,9,2,2
193,338318,0,0,5.4,4.6,5.3,5.7,0,0,1.0,2,0,3
194,882962,0,0,6.4,6.3,7.4,0.0,0,0,0.0,3,2,6
195,971089,0,0,7.1,6.5,5.3,6.2,0,0,0.0,2,2,6
196,621598,1,1,0.0,0.0,0.0,0.0,1,1,1.0,2,2,6
197,611915,0,0,6.9,6.6,6.1,0.0,0,0,0.0,5,0,4
198,160124,0,0,7.1,7.3,6.2,6.2,0,0,0.0,3,2,4
199,945283,0,0,5.3,5.7,5.5,5.5,0,0,0.0,5,2,4
200,669589,0,0,7.5,7.0,6.9,5.8,0,0,0.0,17,6,2
201,918460,0,0,5.1,5.3,0.0,0.0,1,1,1.0,9,2,6
202,454461,0,0,6.9,4.6,5.4,5.4,0,0,0.0,3,0,4
203,122467,0,0,7.0,7.7,6.8,0.0,0,0,1.0,3,5,3
204,491025,1,1,0.0,0.0,0.0,0.0,1,1,1.0,2,2,6
205,670349,0,0,5.4,5.3,5.0,5.6,0,0,1.0,3,4,4
206,655352,0,0,7.8,7.9,8.7,7.7,0,0,1.0,5,2,2
207,561340,0,0,6.8,7.0,7.4,5.7,0,0,1.0,2,2,5
208,697547,0,0,7.1,7.1,7.3,0.0,0,0,0.0,16,5,2
209,685831,1,1,0.0,0.0,0.0,0.0,1,1,0.0,3,0,3
210,225253,0,0,7.8,7.8,7.6,7.1,0,0,0.0,11,5,4
211,355318,0,0,6.5,7.2,7.3,0.0,0,0,0.0,7,2,5
212,585214,0,0,6.0,6.2,4.8,5.5,0,0,0.0,2,4,4
213,644221,0,0,6.9,7.7,6.5,0.0,0,0,0.0,3,3,2
214,511995,0,0,7.6,7.7,7.7,7.0,0,0,1.0,4,4,3
215,519316,0,0,6.9,7.2,5.3,6.4,0,0,0.0,11,4,2
216,767433,0,0,6.7,5.7,5.7,0.0,0,0,0.0,18,7,2
217,719557,1,3,0.0,0.0,0.0,0.0,1,1,1.0,4,2,3
218,540695,1,1,0.0,0.0,0.0,0.0,1,3,1.0,4,2,4
219,721876,0,0,6.6,6.4,4.7,0.0,0,0,0.0,3,2,6
220,732599,0,0,6.3,5.5,6.9,6.2,0,0,0.0,3,2,4
221,302890,3,1,0.0,0.0,0.0,0.0,3,3,0.0,3,3,3
222,239351,1,1,0.0,0.0,0.0,0.0,1,3,1.0,3,0,3
223,944997,3,1,0.0,0.0,0.0,0.0,3,1,1.0,2,1,7
224,498264,0,0,6.7,6.9,7.2,6.4,0,0,0.0,7,2,5
225,641096,0,0,7.1,6.9,7.1,6.4,0,0,0.0,12,6,3
226,625232,0,0,6.1,5.4,7.0,5.2,0,0,0.0,2,2,3
227,920941,0,0,7.2,7.3,7.1,6.3,0,0,0.0,6,5,3
228,502417,0,0,6.2,6.5,7.0,0.0,0,0,0.0,4,0,4
229,971180,0,0,6.7,5.9,5.5,0.0,0,0,1.0,4,0,8
230,588440,0,0,6.7,7.2,5.2,0.0,0,0,1.0,5,0,5
231,164129,0,0,6.0,5.5,5.1,4.3,0,0,0.0,3,5,3
232,136659,1,3,0.0,0.0,0.0,0.0,1,1,1.0,3,2,4
233,241606,0,0,6.3,4.8,5.5,4.8,0,0,1.0,2,5,3
234,581551,0,0,6.9,7.0,6.2,6.4,0,0,1.0,3,2,3
235,698238,1,1,0.0,0.0,0.0,0.0,1,3,0.0,9,4,3
236,682719,0,0,6.0,5.3,6.4,0.0,0,0,1.0,2,3,4
237,727213,0,0,6.1,5.8,0.0,0.0,1,1,0.0,4,3,2
238,361781,0,0,6.9,6.7,6.4,0.0,0,0,1.0,5,5,3
239,405514,0,0,5.1,7.2,5.6,7.3,0,0,0.0,4,6,3
240,462899,1,1,0.0,0.0,0.0,0.0,1,1,0.0,4,2,6
241,758626,0,0,6.1,4.9,4.7,0.0,0,0,1.0,4,5,5
242,948921,0,0,6.3,6.6,5.5,0.0,0,0,1.0,9,5,1
243,268987,0,0,5.2,4.8,5.8,6.3,0,0,1.0,0,3,6
244,911780,1,1,0.0,0.0,0.0,0.0,3,1,1.0,8,2,6
245,116766,0,0,6.9,6.6,5.7,6.1,0,0,0.0,5,5,1
246,791456,0,0,6.3,6.7,5.4,5.8,0,0,1.0,2,4,6
247,686762,0,0,5.4,5.2,4.9,5.7,0,0,0.0,5,3,5
248,498936,0,0,6.5,6.2,5.0,0.0,0,0,0.0,2,3,5
249,776246,0,0,5.6,6.7,6.7,5.1,0,0,1.0,3,2,4
250,807756,0,0,6.9,6.5,5.3,6.0,0,0,1.0,2,5,2
251,696588,0,0,7.1,7.0,5.0,6.5,0,0,0.0,10,4,4
252,645216,0,0,6.2,5.7,5.1,4.3,0,0,1.0,5,5,3
253,895682,0,0,6.7,6.8,5.0,4.8,0,0,1.0,4,2,3
254,784479,0,0,7.4,7.0,6.6,0.0,0,0,1.0,17,3,5
255,818775,1,1,0.0,0.0,0.0,0.0,1,1,1.0,4,3,4
256,832418,0,0,5.2,5.8,6.4,0.0,0,0,1.0,3,0,4
257,113932,0,0,5.5,6.0,4.8,4.9,0,0,1.0,5,4,3
258,797286,1,1,0.0,0.0,0.0,0.0,1,1,0.0,4,0,4
259,543341,0,0,5.1,5.4,4.5,4.7,0,0,1.0,2,4,3
260,120041,0,0,6.0,6.2,7.5,6.1,0,0,0.0,3,1,6
261,904726,0,0,6.7,6.4,5.8,5.2,0,0,0.0,3,0,8
262,700098,3,1,0.0,0.0,0.0,0.0,1,1,0.0,9,5,3
263,387834,0,0,5.7,5.9,5.5,5.1,0,0,0.0,3,2,4
264,463676,1,3,0.0,0.0,0.0,0.0,3,3,1.0,5,0,8
265,117279,0,0,6.5,5.9,6.6,5.3,0,0,0.0,8,4,2
266,664807,0,0,6.6,6.2,4.7,0.0,0,0,0.0,4,0,2
267,882587,1,1,0.0,0.0,0.0,0.0,1,1,1.0,3,0,3
268,136830,0,0,6.5,6.3,7.7,0.0,0,0,0.0,7,5,2
269,885800,0,0,5.7,6.4,5.0,5.4,0,0,0.0,5,5,3
270,926269,1,1,0.0,0.0,0.0,0.0,3,1,1.0,12,5,4
271,733926,1,3,0.0,0.0,0.0,0.0,1,1,1.0,3,5,3
272,104208,0,0,6.8,5.5,5.1,6.2,0,0,1.0,7,2,6
273,412164,0,0,6.1,6.6,5.7,0.0,0,0,0.0,3,4,3
274,803357,0,0,5.6,6.1,5.9,4.5,0,0,1.0,4,3,3
275,769242,0,0,6.1,6.0,5.5,5.6,0,0,1.0,3,2,3
276,829244,0,0,7.2,7.2,7.8,7.0,0,0,0.0,10,7,1
277,758685,0,0,6.6,6.7,5.1,6.1,0,0,1.0,3,2,6
278,502082,0,0,6.7,6.7,6.7,5.7,0,0,1.0,5,4,6
279,465299,0,0,7.1,7.0,5.8,0.0,0,0,1.0,4,3,4
280,872882,0,0,6.0,5.8,7.3,0.0,0,0,1.0,2,2,4
281,167961,0,0,6.3,6.2,5.0,5.4,0,0,0.0,4,5,2
282,574107,0,0,7.0,5.9,5.1,4.7,0,0,0.0,4,4,2
283,261346,0,0,7.1,5.9,5.6,0.0,0,0,1.0,2,5,2
284,428954,1,1,0.0,0.0,0.0,0.0,3,1,0.0,7,5,5
285,256645,0,0,5.7,4.8,5.1,5.3,0,0,1.0,2,5,3
286,740863,1,1,0.0,0.0,0.0,0.0,1,1,1.0,2,0,5
287,689924,3,1,0.0,0.0,0.0,0.0,1,1,0.0,15,5,4
288,533397,1,1,0.0,0.0,0.0,0.0,3,1,1.0,2,3,4
289,355820,0,0,6.2,5.8,5.2,5.2,0,0,1.0,2,0,5
290,713338,3,1,0.0,0.0,0.0,0.0,1,1,0.0,5,0,4
291,641492,0,0,6.6,6.0,4.9,0.0,0,0,0.0,15,2,3
292,295223,0,0,5.9,4.3,0.0,0.0,1,1,0.0,11,7,3
293,849772,0,0,4.6,4.3,6.0,5.4,0,0,0.0,9,6,3
294,370202,0,0,7.5,7.8,9.5,7.8,0,0,0.0,4,0,3
295,653402,0,0,6.7,6.8,5.7,0.0,0,0,1.0,3,0,3
296,516888,1,1,0.0,0.0,0.0,0.0,1,1,1.0,3,3,6
297,105605,0,0,6.4,6.6,6.2,5.5,0,0,1.0,3,2,7
298,563436,1,1,0.0,0.0,0.0,0.0,1,1,0.0,2,0,3
299,588110,0,0,5.5,6.1,4.9,5.1,0,0,0.0,5,4,3
300,879849,0,0,6.4,5.9,6.9,5.8,0,0,0.0,2,4,3
301,676801,0,0,6.1,5.5,6.9,5.8,0,0,0.0,5,5,3
302,854327,0,0,6.8,6.2,7.3,6.7,0,0,0.0,11,6,2
303,861333,0,0,7.0,6.8,5.9,6.3,0,0,0.0,5,2,3
304,129410,0,0,6.8,6.7,5.4,0.0,0,0,0.0,4,5,3
305,598529,0,0,6.4,6.7,5.7,5.5,0,0,0.0,4,4,3
306,104434,0,0,6.9,6.5,5.6,6.1,0,0,0.0,3,2,5
307,867012,0,0,7.0,6.8,6.3,6.4,0,0,0.0,2,0,4
308,302397,1,1,0.0,0.0,0.0,0.0,3,1,1.0,3,0,4
309,792839,0,0,4.6,5.1,5.4,4.6,0,0,1.0,2,2,6
310,269742,3,3,0.0,0.0,0.0,0.0,1,1,0.0,9,4,6
311,932292,0,0,6.3,6.3,6.4,4.7,0,0,0.0,4,5,3
312,681552,0,0,7.1,6.8,6.2,6.0,0,0,0.0,4,5,2
313,471053,0,0,6.4,6.5,4.8,5.8,0,0,1.0,3,2,5
314,339389,0,0,6.1,6.8,5.4,0.0,0,0,0.0,2,2,3
315,392400,0,0,6.2,6.7,0.0,0.0,1,1,1.0,4,2,6
316,783550,0,0,6.2,6.0,5.7,5.5,0,0,1.0,7,4,3
317,988773,0,0,5.4,5.9,5.0,4.9,0,0,0.0,5,0,3
318,800517,0,0,7.1,7.2,5.6,0.0,0,0,1.0,2,2,2
319,626462,0,0,6.7,6.4,5.2,5.4,0,0,0.0,3,0,3
320,863293,1,1,0.0,0.0,0.0,0.0,1,3,0.0,10,7,3
321,972263,0,0,6.3,7.0,7.0,0.0,0,0,1.0,9,4,2
322,467643,0,0,6.6,6.8,6.5,0.0,0,0,1.0,16,2,4
323,890989,0,0,5.4,5.3,5.0,5.2,0,0,1.0,2,3,3
324,217757,0,0,7.2,7.0,6.6,0.0,0,0,0.0,2,5,3
325,447033,0,0,6.1,6.2,5.7,4.7,0,0,0.0,16,5,2
326,893167,0,0,5.8,6.1,5.4,5.2,0,0,1.0,5,3,6
327,582923,1,3,0.0,0.0,0.0,0.0,3,3,1.0,6,2,3
328,350091,0,0,4.9,4.9,5.3,5.5,0,0,0.0,5,2,6
329,671730,3,3,0.0,0.0,0.0,0.0,1,1,0.0,2,0,6
330,655128,0,0,6.2,5.8,6.5,5.9,0,0,0.0,4,3,5
331,596787,0,0,7.7,7.9,7.9,8.1,0,0,0.0,4,5,3
332,589903,0,0,7.0,7.5,7.7,7.0,0,0,1.0,4,4,2
333,401660,0,0,5.0,5.4,4.6,4.7,0,0,0.0,2,0,6
334,475989,0,0,6.1,7.1,5.5,0.0,0,0,1.0,5,5,3
335,642925,0,0,6.6,7.3,5.9,5.3,0,0,0.0,5,3,5
336,254042,0,0,8.0,8.7,9.9,0.0,0,0,0.0,14,6,2
337,729920,0,0,5.3,5.3,6.4,4.6,0,0,0.0,7,4,3
338,448184,0,0,7.3,6.8,6.2,0.0,0,0,1.0,5,5,1
339,732088,0,0,6.1,6.8,6.3,0.0,0,0,0.0,2,2,3
340,818964,0,0,7.3,7.3,5.2,0.0,0,0,0.0,5,4,6
341,917754,0,0,6.7,6.8,5.3,6.2,0,0,0.0,4,4,5
342,294127,0,0,5.9,5.7,5.2,5.8,0,0,0.0,2,3,3
343,106778,0,0,6.5,6.4,5.8,0.0,0,0,1.0,2,5,3
344,547697,1,1,0.0,0.0,0.0,0.0,1,1,1.0,3,2,6
345,937476,0,0,6.6,6.6,6.5,0.0,0,0,1.0,4,4,3
346,857139,0,0,6.2,6.4,6.5,5.9,0,0,0.0,2,2,4
347,953542,0,0,6.6,7.0,7.0,6.6,0,0,0.0,6,5,2
348,176332,3,1,0.0,0.0,0.0,0.0,1,3,1.0,4,1,6
349,710545,0,0,6.8,6.5,5.7,5.4,0,0,1.0,2,0,4
350,330981,0,0,5.9,6.5,5.6,4.2,0,0,0.0,4,4,3
351,171795,0,0,5.7,5.3,5.5,6.6,0,0,0.0,5,2,6
